num,tag,parent_tag,depth,children
MarketableSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,TradingSecurities|AvailableForSaleSecuritiesCurrent|HeldToMaturitySecuritiesCurrent|OtherMarketableSecuritiesCurrent
TradingSecurities,CashCashEquivalentsAndShortTermInvestments,4,TradingSecuritiesDebt|TradingSecuritiesEquity|TradingSecuritiesOther
TradingSecuritiesDebt,CashCashEquivalentsAndShortTermInvestments,4,
TradingSecuritiesEquity,CashCashEquivalentsAndShortTermInvestments,4,
TradingSecuritiesOther,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,AvailableForSaleSecuritiesDebtSecuritiesCurrent|AvailableForSaleSecuritiesEquitySecuritiesCurrent
AvailableForSaleSecuritiesDebtSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesEquitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
HeldToMaturitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
OtherMarketableSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
TradingSecurities,CashCashEquivalentsAndShortTermInvestments,4,TradingSecuritiesDebt|TradingSecuritiesEquity|TradingSecuritiesOther
TradingSecuritiesDebt,CashCashEquivalentsAndShortTermInvestments,4,
TradingSecuritiesEquity,CashCashEquivalentsAndShortTermInvestments,4,
TradingSecuritiesOther,CashCashEquivalentsAndShortTermInvestments,4,
TradingSecuritiesDebt,CashCashEquivalentsAndShortTermInvestments,4,
TradingSecuritiesEquity,CashCashEquivalentsAndShortTermInvestments,4,
TradingSecuritiesOther,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,AvailableForSaleSecuritiesDebtSecuritiesCurrent|AvailableForSaleSecuritiesEquitySecuritiesCurrent
AvailableForSaleSecuritiesDebtSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesEquitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesDebtSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesEquitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
HeldToMaturitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
OtherMarketableSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesCurrentAlternativeAbstract,CashCashEquivalentsAndShortTermInvestments,4,MarketableSecuritiesFixedMaturitiesCurrentAlternativeAbstract|MarketableSecuritiesEquitySecuritiesCurrentAlternativeAbstract|OtherMarketableSecuritiesCurrent|MarketableSecuritiesCurrent
MarketableSecuritiesFixedMaturitiesCurrentAlternativeAbstract,CashCashEquivalentsAndShortTermInvestments,4,TradingSecuritiesDebt|AvailableForSaleSecuritiesDebtSecuritiesCurrent|HeldToMaturitySecuritiesCurrent|MarketableSecuritiesFixedMaturitiesCurrent
TradingSecuritiesDebt,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesDebtSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
HeldToMaturitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesFixedMaturitiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesEquitySecuritiesCurrentAlternativeAbstract,CashCashEquivalentsAndShortTermInvestments,4,TradingSecuritiesEquity|AvailableForSaleSecuritiesEquitySecuritiesCurrent|MarketableSecuritiesEquitySecuritiesCurrent
TradingSecuritiesEquity,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesEquitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesEquitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
OtherMarketableSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesFixedMaturitiesCurrentAlternativeAbstract,CashCashEquivalentsAndShortTermInvestments,4,TradingSecuritiesDebt|AvailableForSaleSecuritiesDebtSecuritiesCurrent|HeldToMaturitySecuritiesCurrent|MarketableSecuritiesFixedMaturitiesCurrent
TradingSecuritiesDebt,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesDebtSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
HeldToMaturitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesFixedMaturitiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
TradingSecuritiesDebt,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesDebtSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
HeldToMaturitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesFixedMaturitiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesEquitySecuritiesCurrentAlternativeAbstract,CashCashEquivalentsAndShortTermInvestments,4,TradingSecuritiesEquity|AvailableForSaleSecuritiesEquitySecuritiesCurrent|MarketableSecuritiesEquitySecuritiesCurrent
TradingSecuritiesEquity,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesEquitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesEquitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
TradingSecuritiesEquity,CashCashEquivalentsAndShortTermInvestments,4,
AvailableForSaleSecuritiesEquitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesEquitySecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
OtherMarketableSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
MarketableSecuritiesCurrent,CashCashEquivalentsAndShortTermInvestments,4,
OtherShortTermInvestments,CashCashEquivalentsAndShortTermInvestments,4,
ReceivablesNetCurrent,AssetsCurrent,3,AccountsNotesAndLoansReceivableNetCurrent|UnbilledReceivablesCurrent|DueFromRelatedPartiesCurrent|ReceivablesLongTermContractsOrPrograms|AccountsReceivableFromSecuritization|AccountsAndOtherReceivablesNetCurrent|AccountsReceivableNetCurrent|AccountsReceivableGrossCurrent|AllowanceForDoubtfulAccountsReceivableCurrent|NotesAndLoansReceivableNetCurrent|NotesAndLoansReceivableGrossCurrent|AllowanceForNotesAndLoansReceivableCurrent
AccountsNotesAndLoansReceivableNetCurrent,ReceivablesNetCurrent,4,AccountsReceivableNetCurrent|NotesAndLoansReceivableNetCurrent
AccountsReceivableNetCurrent,ReceivablesNetCurrent,4,AccountsReceivableGrossCurrent|AllowanceForDoubtfulAccountsReceivableCurrent
AccountsReceivableGrossCurrent,ReceivablesNetCurrent,4,
AllowanceForDoubtfulAccountsReceivableCurrent,ReceivablesNetCurrent,4,
NotesAndLoansReceivableNetCurrent,ReceivablesNetCurrent,4,NotesAndLoansReceivableGrossCurrent|AllowanceForNotesAndLoansReceivableCurrent
NotesAndLoansReceivableGrossCurrent,ReceivablesNetCurrent,4,
AllowanceForNotesAndLoansReceivableCurrent,ReceivablesNetCurrent,4,
UnbilledReceivablesCurrent,ReceivablesNetCurrent,4,
DueFromRelatedPartiesCurrent,ReceivablesNetCurrent,4,
ReceivablesLongTermContractsOrPrograms,ReceivablesNetCurrent,4,
AccountsReceivableFromSecuritization,ReceivablesNetCurrent,4,
AccountsAndOtherReceivablesNetCurrent,ReceivablesNetCurrent,4,
AccountsReceivableNetCurrent,ReceivablesNetCurrent,4,AccountsReceivableGrossCurrent|AllowanceForDoubtfulAccountsReceivableCurrent
AccountsReceivableGrossCurrent,ReceivablesNetCurrent,4,
AllowanceForDoubtfulAccountsReceivableCurrent,ReceivablesNetCurrent,4,
AccountsReceivableGrossCurrent,ReceivablesNetCurrent,4,
AllowanceForDoubtfulAccountsReceivableCurrent,ReceivablesNetCurrent,4,
NotesAndLoansReceivableNetCurrent,ReceivablesNetCurrent,4,NotesAndLoansReceivableGrossCurrent|AllowanceForNotesAndLoansReceivableCurrent
NotesAndLoansReceivableGrossCurrent,ReceivablesNetCurrent,4,
AllowanceForNotesAndLoansReceivableCurrent,ReceivablesNetCurrent,4,
NotesAndLoansReceivableGrossCurrent,ReceivablesNetCurrent,4,
AllowanceForNotesAndLoansReceivableCurrent,ReceivablesNetCurrent,4,
InventoryNet,AssetsCurrent,3,InventoryFinishedGoods|InventoryForLongTermContractsOrPrograms|InventoryWorkInProcess|InventoryRawMaterialsAndSupplies|InventoryValuationReserves|InventoryLIFOReserve
InventoryFinishedGoods,InventoryNet,4,
InventoryForLongTermContractsOrPrograms,InventoryNet,4,
InventoryWorkInProcess,InventoryNet,4,
InventoryRawMaterialsAndSupplies,InventoryNet,4,
InventoryValuationReserves,InventoryNet,4,
InventoryLIFOReserve,InventoryNet,4,
PrepaidExpenseCurrent,AssetsCurrent,3,PrepaidInsurance|PrepaidRent|PrepaidAdvertising|PrepaidRoyalties|Supplies|PrepaidInterest|PrepaidTaxes|OtherPrepaidExpenseCurrent
PrepaidInsurance,PrepaidExpenseCurrent,4,
PrepaidRent,PrepaidExpenseCurrent,4,
PrepaidAdvertising,PrepaidExpenseCurrent,4,
PrepaidRoyalties,PrepaidExpenseCurrent,4,
Supplies,PrepaidExpenseCurrent,4,
PrepaidInterest,PrepaidExpenseCurrent,4,
PrepaidTaxes,PrepaidExpenseCurrent,4,
OtherPrepaidExpenseCurrent,PrepaidExpenseCurrent,4,
OtherAssetsCurrent,AssetsCurrent,3,
DeferredCostsCurrent,AssetsCurrent,3,DeferredCostsLeasingNetCurrent|DeferredFuelCost|DeferredStormAndPropertyReserveDeficiencyCurrent|DeferredSetUpCostsCurrent|DeferredSubscriberAcquisitionCostsCurrent|DeferredOfferingCosts|OtherDeferredCostsNet|DeferredGasCost
DeferredCostsLeasingNetCurrent,DeferredCostsCurrent,4,
DeferredFuelCost,DeferredCostsCurrent,4,DeferredGasCost
DeferredGasCost,DeferredCostsCurrent,4,
